Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37381875,10/9/17 0:29,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11205,Open,BROOKLYN,40.69255374,-73.95971682
37381844,10/9/17 0:30,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11205,Open,BROOKLYN,40.69337727,-73.96000121
37379276,10/9/17 0:32,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,Closed,QUEENS,40.73887254,-73.88148416
37381308,10/9/17 0:32,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,Open,BROOKLYN,40.64404723,-73.95746874
37381627,10/9/17 0:33,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,N/A,Residential Building/House,10011,Closed,MANHATTAN,40.73823082,-73.99676316
37379922,10/9/17 0:33,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11693,Closed,QUEENS,40.60576218,-73.81864972
37380625,10/9/17 0:33,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10001,Assigned,MANHATTAN,40.74860871,-74.00349359
37382327,10/9/17 0:34,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11211,Closed,BROOKLYN,40.71262382,-73.94137684
37379616,10/9/17 0:35,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11218,Assigned,BROOKLYN,40.64315976,-73.98895564
37381243,10/9/17 0:36,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11365,Closed,QUEENS,40.73802343,-73.80756883
37380195,10/9/17 0:36,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,Closed,BROOKLYN,40.64673653,-74.0069585
37379356,10/9/17 0:38,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,Assigned,QUEENS,40.72815673,-73.87858436
37381309,10/9/17 0:39,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Open,QUEENS,40.67388974,-73.81981997
37382424,10/9/17 0:40,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,Open,BRONX,40.83016845,-73.91283496
37379651,10/9/17 0:40,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10459,Assigned,BRONX,40.82791199,-73.89292454
37379319,10/9/17 0:40,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11423,Open,QUEENS,40.71150059,-73.76328907
37378578,10/9/17 0:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,Open,BRONX,40.82856998,-73.9189329
37381427,10/9/17 0:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,Open,QUEENS,40.74923042,-73.88612149
37381693,10/9/17 0:42,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11421,Open,QUEENS,40.68825468,-73.85378767
37381642,10/9/17 0:42,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11213,Open,BROOKLYN,40.67058189,-73.93095248
